Word,Emotionmean,n
liquor,1.25,12
literal,0.52,29
liver,-1.27,11
loan,-0.73,30
lobster,0.25,12
lollipop,2.73,30
loon,1.52,31
loot,-0.08,12
luck,2.91,32
luggage,0.34,29
lunch,1.92,12
lust,1,27
lyric,2.04,28
machete,-2.1,29
machine,0.02,44
mad,-3.94,32
madness,-3.17,30
magazine,1.6,43
magician,1.77,43
majority,0.61,31
malady,-1.31,29
malice,-3.77,31
man,1.58,31
mandarin,1.1,29
mandolin,1.12,34
mansion,2.82,11
map,0.86,43
marble,1,11
market,1.42,12
marvel,2.28,32
mast,0.43,42
mastery,2.43,30
mastiff,0.5,28
matador,-0.3,30
match,0.26,31
math,-0.93,28
matinee,1.73,30
maze,-0.18,11
meadow,3.25,12
meal,2.54,13
measles,-3.92,12
meat,0.85,13
medicine,2.41,41
megaphone,0.42,31
menace,-2.74,31
menu,1.5,12
mercy,1.03,29
message,1.54,28
microwave,0.7,30
milk,2.36,11
mind,2.38,32
miner,-0.14,43
minister,0.93,42
mink,0.08,12
mirror,0.08,12
mischief,-2.06,31
missile,-3.17,42
mist,2.08,12
misuse,-3.03,30
moccasin,0.59,41
modernist,1.26,31
monarch,1.17,12
monastery,0.33,12
money,3,13
monkey,2.18,44
moon,2.91,11
moonlight,3.73,44
moose,1.03,29
moral,2.22,32
morgue,-4.72,43
morning,1.2,41
morphine,-0.14,43
mosquito,-3.19,43
moss,0.75,12
moth,-0.82,11
mother,4.25,12
motive,0.63,30
mountain,2.27,45
mouse,-0.38,40
mouth,1.26,42
movie,2.45,11
mucus,-3.17,12
mud,-0.24,42
mug,-0.23,13
mule,-0.09,11
murmur,-0.94,31
muscle,1.81,42
mushroom,0.25,28
music,3.55,29
musical,2.57,30
musician,2.8,44
musket,-1.26,27
mustard,0.07,45
mystery,0.76,29
mystic,1.17,29
nail,-0.76,42
nap,3.74,31
napkin,0.42,12
navy,0.58,43
nay,-0.97,29
neck,0.42,12
necklace,2.29,42
nectarine,1.84,31
needle,-1.91,11
nest,1.33,12
neuter,-2.65,31
newspaper,0.84,44
nickel,0.42,12
night,1.82,11
nightfall,2.43,44
nightgown,1.43,30
